Year, Production,Imports USA [t],Exports USA [t],Stocks,Reported consumption Mn ore,Reported consumption Mn alloys,Apparent consumption [t],Unit value [$/t],Unit value (98$/t),World production [t]
1900,28000,174000,9070,5520000.0,460000.0,760000.0,202000,23,450,592000
1901,28000,76200,9070,408000.0,254000.0,878000.0,104000,26,510,429000
1902,19000,139000,9070,5600000.0,748000.0,276000.0,158000,26,500,441000
1903,19000,154000,9070,1950000.0,746000.0,366000.0,173000,43,790,411000
1904,18000,81600,9070,3130000.0,215000.0,416000.0,99800,24,430,416000
1905,29000,149000,9070,5900000.0,748000.0,351000.0,178000,28,520,481000
1906,30000,179000,9070,2610000.0,1230000.0,755000.0,209000,48,870,868000
1907,42000,193000,9070,2100000.0,1230000.0,592000.0,235000,46,810,1080000
1908,35000,158000,9070,4220000.0,195000.0,936000.0,193000,27,480,641000
1909,42000,133000,9070,477000.0,237000.0,936000.0,175000,29,520,811000
1910,42000,214000,7260,2260000.0,696000.0,746000.0,256000,30,530,888000
1911,32000,193000,7260,2110000.0,748000.0,927000.0,225000,29,510,719000
1912,32000,160000,7260,1590000.0,619000.0,375000.0,191000,25,420,856000
1913,34000,303000,7260,1690000.0,328000.0,701000.0,337000,28,460,1040000
1914,45000,208000,7260,408000.0,277000.0,823000.0,261000,27,445,840000
1915,83000,155000,907,1220000.0,1030000.0,746000.0,237000,29,471,636000
1916,174000,308000,907,432000.0,254000.0,376000.0,481000,50,742,850000
1917,284000,376000,907,1640000.0,931000.0,680000.0,660000,47,594,864000
1918,419000,301000,4540,5600000.0,172000.0,936000.0,716000,73,794,934000
1919,127000,317000,3630,6030000.0,983000.0,582000.0,440000,81,759,550000
1920,210000,345000,2720,373000.0,237000.0,276000.0,552000,57,465,754000
1921,21000,203000,907,1690000.0,113000,746000.0,223000,19,169,523000
1922,135000,262000,907,5670000.0,168000,311000.0,396000,33,318,535000
1923,208000,178000,3630,5670000.0,282000,383000.0,382000,42,403,731000
1924,171000,288000,2720,1520000.0,231000,375000.0,455000,36,341,919000
1925,230000,362000,4540,4970000.0,277000,362000.0,578000,40,375,1170000
1926,212000,353000,907,5160000.0,328000,850000.0,564000,39,359,1370000
1927,188000,347000,907,4590000.0,296000,619000.0,534000,35,327,1430000
1928,134000,325000,7260,2450000.0,304000,303000.0,452000,37,353,1280000
1929,158000,385000,907,408000.0,364000,527000.0,542000,38,366,1580000
1930,122000,269000,5440,4470000.0,366000,375000.0,386000,33,322,1590000
1931,69000,165000,907,409000.0,215000,418000.0,233000,26,280,982000
1932,18000,61700,7260,1520000.0,68000,411000.0,79800,35,420,559000
1933,24000,181000,7260,5830000.0,175000,366000.0,206000,39,485,779000
1934,45000,192000,7260,3110000.0,219000,755000.0,238000,29,353,1310000
1935,89000,221000,7260,432000.0,275000,862000.0,310000,31,368,1800000
1936,123000,455000,7260,5520000.0,556000,527000.0,578000,27,320,2340000
1937,164000,482000,1810,6030000.0,642000,362000.0,644000,27,311,2740000
1938,47000,263000,7260,434000.0,296000,582000.0,310000,35,410,2380000
1939,139000,368000,2720,434000.0,431000,311000.0,504000,35,415,1110000
1940,188000,639000,10900,1630000.0,627000,472000,816000,32,367,2540000
1941,210000,756000,3630,2110000.0,748000,531000,961000,34,380,2450000
1942,285000,705000,5440,1460000.0,694000,592000,990000,35,346,2290000
1943,294000,663000,9070,1280000.0,695000,594000,948000,36,336,1800000
1944,287000,578000,907,5140000.0,696000,594000,864000,44,405,1270000
1945,236000,601000,907,2190000.0,652000,527000,836000,49,446,1900000
1946,187000,713000,11800,3130000.0,504000,415000,870000,49,410,1650000
1947,184000,625000,19100,1540000.0,619000,544000,790000,51,375,1750000
1948,200000,708000,18100,1880000.0,665000,550000,890000,53,362,1830000
1949,154000,632000,7260,1520000,575000,498000,797000,58,398,2160000
1950,171000,877000,4000,1650000,628000,619000,960000,71,478,2530000
1951,224000,868000,4000,1630000,796000,716000,1100000,73,461,3180000
1952,190000,1180000,5000,2020000,746000,651000,971000,84,519,4440000
1953,244000,1550000,4000,2710000,891000,760000,1120000,97,589,4940000
1954,161000,967000,4000,3110000,725000,582000,720000,89,539,4500000
1955,239000,953000,4000,3180000,885000,760000,1120000,82,499,4870000
1956,224000,1070000,4000,3660000,931000,700000,807000,96,574,5310000
1957,233000,1540000,8000,4280000,985000,761000,1150000,121,703,5820000
1958,178000,1100000,4000,4680000,632000,556000,865000,109,612,5580000
1959,139000,1110000,4000,4970000,688000,624000,963000,102,571,5830000
1960,106000,1200000,5000,5160000,839000,657000,977000,95,523,6120000
1961,70800,1060000,6000,5520000,741000,648000,764000,103,563,6110000
1962,66200,980000,8170,5670000,808000,675000,887000,88,474,6400000
1963,85300,1020000,5440,5780000,789000,755000,994000,75,400,6630000
1964,71700,1040000,13600,5780000,983000,862000,1100000,79,415,7240000
1965,75300,1300000,11000,5900000,1230000,896000,1250000,77,398,7980000
1966,79800,1310000,9070,6050000,1020000,878000,1230000,81,405,8150000
1967,66200,1060000,9980,6080000,1020000,823000,1090000,79,387,7510000
1968,43500,955000,13600,6020000,961000,850000,1040000,71,334,7800000
1969,84400,1130000,12700,6030000,1000000,883000,1190000,65,287,8420000
1970,59900,989000,27200,5840000,1050000,822000,1200000,68,284,8200000
1971,34500,1040000,27200,5830000,958000,743000,1060000,73,294,9070000
1972,26300,996000,17200,5600000,1030000,795000,1240000,87,339,9080000
1973,28100,960000,36300,5140000,929000,927000,1410000,97,357,9740000
1974,31800,879000,103000,4590000,825000,936000,1350000,160,528,9270000
1975,17200,1010000,119000,4470000,803000,748000,1030000,211,640,9810000
1976,28100,1020000,67100,4220000,716000,759000,1240000,246,705,10000000
1977,24500,848000,70800,3640000,602000,746000,1380000,269,722,8690000
1978,34500,800000,106000,3130000,590000,828000,1280000,288,719,8690000
1979,28100,864000,53500,2840000,607000,825000,1130000,318,715,9800000
1980,20900,780000,47200,2730000,459000,680000,933000,354,700,9670000
1981,21800,831000,44500,2610000,460000,701000,932000,361,647,8400000
1982,3630,490000,24500,2470000,258000,393000,610000,444,750,8580000
1983,3630,492000,24500,2450000,233000,384000,606000,363,594,7780000
1984,9980,550000,39000,2370000,272000,437000,569000,403,633,8600000
1985,1810,552000,39900,2260000,241000,416000,633000,394,597,8690000
1986,907,625000,29900,2190000,221000,351000,662000,375,557,8830000
1987,1810,547000,42600,2060000,231000,383000,634000,394,565,8340000
1988,907,765000,48100,2100000,244000,425000,682000,487,671,8650000
1989,907,777000,41700,2110000,261000,397000,723000,607,798,9250000
1990,907,611000,54400,2040000,241000,411000,630000,688,858,9080000
1991,0,565000,52000,1950000,237000,362000,598000,807,966,7600000
1992,0,554000,32000,1880000,214000,366000,596000,654,760,7260000
1993,0,624000,37000,1770000,195000,365000,696000,605,683,7070000
1994,0,644000,30500,1690000,219000,372000,694000,602,662,6530000
1995,0,657000,32400,1640000,231000,384000,676000,599,640,7970000
1996,0,765000,40400,1590000,231000,368000,776000,650,676,8180000
1997,0,626000,66700,1540000,222000,373000,643000,635,645,7520000
1998,0,692000,32800,1460000,240000,343000,776000,591,591,7330000
1999,0,711000,29900,1420000,233000,331000,719000,535,523,6390000
2000,0,764000,27200,1380000,238000,328000,768000,582,551,6960000
2001,0,620000,26500,1280000,236000,289000,692000,529,487,7580000
2002,0,641000,17800,1220000,181000,277000,696000,471,426,7800000
2003,0,593000,22900,1150000,201000,276000,643000,599,530,8790000
2004,0,885000,74200,920000,228000,341000,1030000,1090,944,9900000
2005,0,805000,25000,873000,187000,305000,773000,712,594,11000000
2006,0,869000,26300,697000,172000,314000,1060000,800,646,11500000
2007,0,878000,48400,490000,174000,303000,979000,1190,935,12000000
2008,0,930000,65500,516000,235000,347000,844000,2380,1800,13400000
2009,0,391000,55800,408000,242000,276000,451000,1370,1040,11300000
2010,0,757000,37300,407000,234000,311000,721000,1500,1120,14700000
2011,0,824000,19700,509000,257000,327000,699000,1460,1060,15400000
2012,0,829000,17100,477000,241000,418000,843000,1400,997,16200000
2013,0,800000,11400,465000,262000,402000,794000,1190,830,17200000
2014,0,812000,12900,432000,254000,391000,834000,1330,916,18300000
2015,0,681000,12500,491000,226000,372000,697000,1140,784,15300000
2016,0,515000,16000,450000,205000,371000,540000,920,625,14900000
2017,0,695000,20900,409000,189000,375000,715000,1420,945,18800000
2018,0,843000,21300,434000,185000,376000,796000,1500,974,19400000
2019,0,776000,19300,444000,221000,369000,748000,1300,830,20600000
2020,0,566000,16000,373000,189000,416000,621000,1110,698,18900000
