Year,Mine production,Primary production,Secondary production,Shipments,Imports USA [t],Exports USA [t],Stocks,Apparent consumption [t],Unit value [$/t],Unit value (98$/t),World production [t]
1900,1790,1790,1710.0,0.0,5040.0,289.0,4220.0,420,20000,390000,5400
1901,1720,1720,38,220.0,696.0,1610.0,3800.0,402,19000,380000,5380
1902,1730,1730,87,207.0,6910.0,3530.0,660.0,515,17000,320000,5060
1903,1690,1690,122,437.0,3830.0,603.0,660.0,499,17000,320000,5220
1904,1740,1790,83,437.0,2120.0,278.0,952.0,554,19000,340000,5110
1905,1750,1740,137,0.0,2180.0,4440.0,1076.0,601,20000,360000,5360
1906,1780,1760,122,0.0,214.0,2250.0,2401.0,558,22000,390000,5130
1907,1630,1760,72,0.0,3480.0,444.0,649.0,686,21000,370000,5730
1908,1580,1630,112,317.0,1380,1610,3540.0,630,17000,310000,6320
1909,1780,1700,216,442.0,1440,1790,3600.0,652,17000,300000,6600
1910,1790,1780,50,277.0,1430,1780,1620.0,721,17000,300000,6900
1911,1900,1880,178,0.0,1360,2040,4720.0,818,17000,300000,7040
1912,2050,1980,227,0.0,1510,2240,3680.0,704,20000,340000,6980
1913,2210,2080,245,2190.0,1230.0,868.0,498.0,719,19600,323000,7010
1914,2170,2250,210,0.0,807,1610,3540.0,701,18000,294000,5240
1915,2250,2330,218,0.0,1070,1670,3490.0,714,16400,264000,5730
1916,2450,2310,308,0.0,1000,2200,9150.0,691,21500,322000,5250
1917,2200,2230,343,0.0,1660,2620,544.0,498,27000,344000,5420
1918,2120,2110,296,255.0,2220,7860,7570.0,831,31500,340000,6140
1919,1610,1760,201,0.0,2780,7430,3650.0,816,36000,340000,5490
1920,1760,1720,270,0.0,2740,3530,9150.0,600,32800,267000,5390
1921,1440,1650,218,2190.0,1970,1600,1076.0,897,20300,184000,5330
1922,1900,1750,206,0.0,2200,1950,5460.0,973,21900,212000,6530
1923,2190,2280,263,356.0,2320,2250,2547.0,882,20900,199000,7650
1924,1990,2030,278,0.0,2300,3420,400.0,767,21500,205000,7450
1925,2070,2060,308,207.0,2910,4270,5730.0,931,22200,207000,7650
1926,1940,1950,311,107.0,3480,4440,2401.0,915,19900,183000,7890
1927,1850,1880,316,0.0,2980,4130,471.0,917,18300,171000,7900
1928,1800,1820,330,717.0,3570,4540,3970.0,775,18600,178000,8020
1929,1890,1910,354,0.0,3390,4480,4130.0,964,17000,162000,8120
1930,1480,1470,295,317.0,3120,4170,3490.0,836,12200,120000,7740
1931,929,962,291,442.0,3070,2840,5460.0,757,9320,99900,6080
1932,712,746,305,0.0,1110,1300,2666.0,450,9000,107000,5130
1933,725,715,576,404.0,4460,1360,4220.0,336,11300,141000,5340
1934,1030,1020,877,717.0,4470,655,1076.0,357,15400,188000,5990
1935,1520,1430,1120,232.0,14700,156,498.0,165,20600,245000,6890
1936,1920,1980,520,0.0,6910,86,4220.0,595,14500,170000,7920
1937,2240,2240,733,0.0,3340,66,735.0,862,14500,164000,8640
1938,1960,1950,574,0.0,5980,57,4130.0,628,13800,160000,8320
1939,2040,2030,777,0.0,4350,663,1620.0,1390,12500,147000,8300
1940,2230,2160,702,0.0,3280,297,537.0,1380,11300,131000,8570
1941,2090,2250,633,437.0,2600,263,537.0,2250,11300,125000,8140
1942,1680,1740,934,109.0,3310,160,3540.0,3150,12200,122000,7780
1943,1290,1270,1370,0.0,687,1070,550.0,3670,14500,136000,6380
1944,1070,1110,1750,437.0,421,6720,922.0,3740,14500,134000,5740
1945,903,904,1820,0.0,604,4190,498.0,3930,16700,152000,5040
1946,713,656,1140,0.0,1120,1170,3650.0,2710,25700,214000,3970
1947,1110,1200,867,0.0,1700,916,660.0,3060,23100,169000,5220
1948,1180,1220,743,2190.0,1550,40,735.0,3270,23800,161000,5440
1949,1080,1090,705,0.0,1980,94,3540.0,2740,23100,159000,5570
1950,1320,1320,1410,0.0,2310,143,735.0,3420,23800,161000,6320
1951,1240,1240,1450,207.0,1620,199,550.0,3270,28600,179000,6210
1952,1230,1240,779,232.0,1390,62,1533.0,3000,27300,168000,6700
1953,1170,1170,603,0.0,1360,32,583.0,3300,27300,167000,6900
1954,1150,1110,579,0.0,1300,52,4130.0,2680,27300,166000,6670
1955,1160,1130,687,337.0,898,150,4130.0,3150,28600,174000,7000
1956,1200,1200,933,0.0,3100,107,677.0,3110,29300,175000,7020
1957,1190,1200,1190,107.0,3300,278,4220.0,2970,29300,170000,7190
1958,1060,1140,1120,0.0,974,34,3800.0,2660,28600,162000,7430
1959,970,715,1310,0.0,912,282,929.0,3140,29300,163000,6910
1960,957,1140,700,250.0,537,818,2666.0,3170,29300,161000,7320
1961,1080,1090,902,0.0,488,1220,3650.0,3280,29600,162000,7370
1962,1140,1130,124,442.0,1220,382,1194.0,3430,35000,189000,7650
1963,1100,1090,199,0.0,541,939,480.0,3420,41200,219000,7780
1964,1130,1150,417,0.0,265,3320,952.0,3830,41500,218000,7730
1965,1240,1210,221,0.0,214,1220,4190.0,4260,41500,215000,8010
1966,1360,2470,1140,0.0,841,2650,3510.0,5710,41500,208000,8300
1967,1010,1680,1040,277.0,929,2130,1617,5320,49800,243000,8030
1968,1020,2280,1790,0.0,1300,3190,2401,4520,68800,323000,8560
1969,1300,2600,2480,337.0,1230,1800,2666,4400,57550,255900,9200
1970,1400,2530,1740,2190,920,536,2547,3990,56910,238900,9360
1971,1290,2140,935,3,696,264,1748,4020,49830,200600,9170
1972,1160,2410,967,0,799,830,1620,4700,54010,210500,9380
1973,1170,2340,1070,0,2530,255,1194,6670,82310,301900,9700
1974,1050,1970,1740,0,2800,177,1533,4900,151400,500600,9260
1975,1090,1870,1590,0,1920,704,1076,4990,142100,430500,9430
1976,1070,1690,1560,0,2090,236,952,5350,139900,400500,9840
1977,1190,1400,1490,0,2160,280,1107,4780,148500,399600,10300
1978,1230,1690,1150,0,1910,311,922,4980,173600,433800,10700
1979,1180,1580,1240,0,2440,508,498,4900,356600,800900,10800
1980,1010,1220,1650,0,2020,1780,537,3880,663300,1312000,10700
1981,1270,1460,1220,62,2360,471,649,3630,338200,606200,11200
1982,1250,1510,933,0,3010,400,637,3750,255600,431700,11500
1983,1350,1800,915,0,5010,425,543,3690,367800,601900,12100
1984,1390,1850,866,0,2910,322,660,5300,261700,410800,13100
1985,1230,1670,866,0,4240,392,574,6390,197400,299200,13100
1986,1070,1320,762,317,3900,314,550,5670,175900,261500,13000
1987,1240,1420,810,442,2110,350,471,3990,225400,323300,14000
1988,1660,1470,852,207,2260,444,480,4140,209900,289300,15500
1989,2010,1720,714,337,3060,430,544,5060,176800,232500,16400
1990,2120,1940,454,107,2700,736,583,4360,155000,193300,16600
1991,1860,1880,215,255,2530,787,618,3830,130000,155400,15600
1992,1800,2160,145,356,2660,911,677,4060,127000,147200,14900
1993,1640,1790,162,404,2180,705,735,3260,138000,156000,14100
1994,1490,1810,1700,186,2060,868,929,4820,170000,187000,14000
1995,1560,1430.0,296.0,220,2630,2810,498.0,4880,166000,177100,14900
1996,1570,1730.0,178.0,232,2580,2900,5460.0,4930,167000,173400,15100
1997,2180,2200,1360,109,2120,2980,395,4980,157000,159700,16500
1998,2060,2300,1700,250,2800,2250,400,5300,178000,178000,17200
1999,1950,2000,1500,277,2660,481,400.0,5500,169000,165000,17600
2000,1980,2780,1680,717,3810,279,3600,6280,161000,152000,18100
2001,1740,2640,1060,437,2940,707,3490,6780,141000,130000,18700
2002,1350,2580,1030,21,4020,624,3510,7300,149000,135000,18800
2003,1240,2580,1010,0,4000,135,3680,8000,158000,140000,18800
2004,1250,1140,1920,0,3410,422,4220,6700,215000,186000,20000
2005,1230,2530,981,0,3880,166,3970,6140,236000,197000,20800
2006,1160,2210,1110,0,4280,1500,3540,5130,373000,302000,20100
2007,1280,791,1130,0,4210,660,4190,5250,431000,339000,20800
2008,1250,779,1210,0,3860,413,4130,6320,482000,365000,21300
2009,1250,796,1340,0,2800,167,3650,6090,472000,359000,22300
2010,1280,819,1330,0,4630,523,3380,7540,644000,481000,23300
2011,1120,790,1710,0,5250,625,3800,7920,1130000,819000,23300
2012,1060,796,1660,0,4030,837,4720,5920,1000000,710000,24300
2013,1050,800,1700,0,3830,347,5460,6670,767000,537000,26700
2014,1180,800,1400,0,3940,342,5730,5530,614000,423000,28000
2015,1090,800,1200,0,4660,781,5130,6480,505000,347000,27600
2016,1150,1530,866,0,6160,289,5710,7890,553000,376000,28200
2017,1030,1420,490,0,5040,157,7570,6420,549000,365000,27300
2018,934,1420,632,0,4830,603,9150,5790,505000,328000,27000
